userWallet,total_borrow_usd,total_deposit_usd,total_redeem_usd,total_repay_usd,repay_ratio,deposit,borrow,repay,redeemunderlying,action_types_used,tx_count,repay_delay_days,days_active,unique_assets,asset_mismatch,credit_score,score_class
0x0030de8f624d2b2513c6dbbff788bb109b80304d,0.0,1.0031586054611734,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,0.0,1.8071232012074634,0.0,0.0,0.0,2,0,0,0,1,2,0.0,0,2,0,760,Moderate
0x0030ee334630838ea4dee0b4b6ecbc973529031f,4580.268039158945,3999.417260580614,0.0,1816.91479412184,0.3966830715120053,8,7,1,0,3,16,74.0,74,3,True,730,Moderate
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,0.0,1.0519093751900908,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00326e37cef76788f6b0cf643c94481d60bd3d58,0.0,26.554821136395518,0.0,0.0,0.0,2,0,0,0,1,2,0.0,0,2,0,760,Moderate
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,8740107.447831493,7155137.903060123,4469646.845101746,4062271.7066028374,0.4647850991363644,179,154,148,42,4,523,0.0,103,7,True,700,Moderate
0x003325d3054cd7668fb16f19ea11bae6d02a474c,0.0,0.0,2015703.4790075948,0.0,0.0,0,0,0,5,1,5,0.0,6,2,0,760,Moderate
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,35059576.65262691,60563024.61641714,60580513.637374654,35021753.381240435,0.9989211714744525,59,45,21,37,4,162,0.0,24,2,False,1000,Prime (AAA)
0x0034d2a08772822866b08d2c585e5c8e25723760,0.0,648.7740221834814,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,0.0,0.0,323654.2082837253,0.0,0.0,0,0,0,5,1,5,0.0,30,3,0,780,Moderate
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,1471.653898010025,4286.286065817432,1725.3034179860117,914.9663936533418,0.621726613091952,14,8,2,2,4,26,6.0,20,3,True,870,Strong
